id,EAP,HPL,MWS
id02310,0.030841196,0.011946477,0.9572123
id24541,0.99840945,0.00072736264,0.00086317246
id00134,0.029952947,0.9667487,0.0032983122
id27757,0.763869,0.22957532,0.006555765
id04081,0.9341536,0.030520285,0.035326112
id27337,0.84997576,0.13278991,0.017234325
id24265,0.80275834,0.18534523,0.011896453
id25917,0.010302222,0.08674992,0.9029479
id04951,0.9831745,0.012857201,0.0039683604
id14549,0.837299,0.055296853,0.107404195
id22505,0.024789799,0.014896078,0.96031415
id24002,0.0012840347,0.9983802,0.0003358191
id18982,0.1183626,0.7291102,0.15252726
id15181,0.0020580261,0.9977609,0.00018112072
id21888,0.61107767,0.0940427,0.29487965
id12035,0.00199976,0.00032813108,0.99767214
id17991,0.40975162,0.01266194,0.5775865
id10707,0.9987226,0.0010162942,0.00026110603
id07101,0.29666367,0.008431531,0.6949048
id00345,0.04754416,0.93417466,0.018281218
id05912,0.96284413,0.03153358,0.0056223017
id13443,0.97694606,0.014015823,0.009038118
id09248,0.32859328,0.07967968,0.591727
id17542,0.093518876,0.88199556,0.024485582
id06995,0.20396174,0.0020548666,0.79398334
id25159,0.72899806,0.07018613,0.2008158
id25729,0.3604468,0.629275,0.010278164
id26949,0.978092,0.012082363,0.0098256925
id27191,0.260761,0.03759351,0.7016455
id07668,0.31374446,0.0015406017,0.6847149
id02230,0.028663695,0.3770056,0.59433067
id15553,0.9954424,0.0013224324,0.003235174
id25688,0.0082581295,0.98879963,0.0029422685
id17545,0.9914522,0.0059564817,0.0025912977
id13929,0.48573616,0.38618687,0.12807697
id12880,0.053987294,0.94074845,0.005264182
id19282,0.55801016,0.09233085,0.34965897
id14690,0.011976782,0.005702309,0.9823209
id17975,0.0049134525,0.99399215,0.0010943506
id08037,0.91945326,0.007864207,0.07268252
id15412,0.046277653,0.0070718615,0.9466505
id25032,0.6704103,0.090443715,0.23914596
id27165,0.99898356,0.0005520545,0.0004643439
id03327,0.66362154,0.2526105,0.08376788
id18515,0.98912597,0.003595283,0.007278744
id21003,0.058121175,0.04083704,0.9010418
id23855,0.0015450193,0.97548825,0.022966739
id20724,0.54115826,0.24462625,0.2142155
id13303,0.8586723,0.029966163,0.11136147
id16521,0.0047347397,0.6270352,0.36823004
id20775,0.9983897,0.0006207143,0.0009896149
id13029,0.9973443,0.0020806282,0.00057508826
id14660,0.6570527,0.32126427,0.021683069
id11028,0.0021721355,0.0002746013,0.9975533
id14180,0.9877494,0.010173856,0.0020767702
id25860,0.9971444,0.0007238101,0.0021318095
id11910,0.15499914,0.0031401357,0.8418608
id08065,0.15609819,0.019377962,0.8245239
id22674,0.015134513,0.0025459838,0.98231953
id25018,0.37361926,0.015494602,0.61088616
id10892,0.00047000265,0.9991868,0.0003432283
id10217,0.1841724,0.8142591,0.00156854
id12996,0.22036274,0.34946227,0.43017507
id18262,0.47376135,0.42219624,0.104042456
id08606,0.0010805859,0.9983151,0.0006042865
id17233,0.87724227,0.015685,0.107072756
id00101,0.6277845,0.290841,0.08137452
id12225,0.9089137,0.037036587,0.054049682
id01364,0.004216813,0.99238026,0.0034029272
id24973,0.55682373,0.03327484,0.4099014
id25363,0.4941061,0.0008737917,0.5050201
id10061,0.41054544,0.014937401,0.5745172
id17673,0.060427908,0.9021831,0.037388977
id13249,0.48781046,0.044413783,0.4677758
id10107,0.0032026533,0.0018128682,0.9949845
id04403,0.9919294,0.0018476382,0.00622293
id25728,0.8360212,0.034019504,0.12995929
id16184,0.7472256,0.050739355,0.20203501
id03438,0.0044171307,0.0005348943,0.995048
id22923,0.0049082604,0.9945235,0.0005682523
id08610,0.9962626,0.00087109086,0.0028662754
id25355,0.08601201,0.0108477995,0.9031402
id16916,0.43244463,0.5323269,0.035228457
id12793,0.010130351,0.98804677,0.0018228973
id11859,0.5040717,0.012937181,0.4829911
id02434,0.991435,0.0072303773,0.001334574
id27703,0.0044676275,0.0012547019,0.99427766
id25212,0.0048482744,0.99413174,0.0010199508
id11308,0.10393787,0.19934231,0.69671977
id26094,0.9418083,0.04819566,0.009996072
id22080,0.85030556,0.14343978,0.006254615
id03545,0.9951663,0.0044307266,0.0004029693
id23725,0.0026474858,0.0067180833,0.99063444
id12009,0.7977552,0.14420708,0.058037754
id24241,0.36716917,0.052251697,0.58057916
id03596,0.010944556,0.9849519,0.004103567
id10749,0.034602977,0.9574286,0.007968511
id22794,0.0039508156,0.0028136491,0.9932355
id15482,0.094578266,0.8218958,0.08352589
id04833,0.85277456,0.12822357,0.01900185
id00397,0.010372087,0.00091737835,0.9887106
id14691,0.00430926,0.0012115731,0.9944792
id05193,0.42185503,0.013627865,0.5645171
id19541,0.97866654,0.0024280995,0.01890539
id22166,0.007310247,0.0023277858,0.99036205
id20744,0.006310804,0.0016118297,0.9920773
id10392,0.002188033,0.00029632513,0.9975157
id00770,0.95625657,0.029985853,0.013757585
id06018,0.7174031,0.24170597,0.0408909
id15678,0.33792928,0.0039068414,0.6581639
id08305,0.92852944,0.057596233,0.013874283
id08903,0.3606764,0.07025844,0.56906515
id14752,0.0994995,0.895525,0.0049755247
id12468,0.0019158312,0.99748445,0.0005996581
id05085,0.2323612,0.7381395,0.029499326
id21993,0.3934032,0.0053045717,0.60129225
id15503,0.8988325,0.08156875,0.019598735
id03021,0.0015601701,0.9979558,0.00048404952
id16123,0.98402554,0.015402242,0.000572279
id19383,0.99483705,0.0040477477,0.0011151994
id04186,0.9990459,0.00061005366,0.00034401516
id17954,0.0018375667,0.0005271057,0.99763536
id12030,0.45087045,0.02213652,0.52699304
id13020,0.6860809,0.30478406,0.009135099
id25327,0.010019067,0.9285181,0.061462846
id16344,0.41768447,0.029514587,0.5528009
id12303,0.19472755,0.6803372,0.12493525
id15017,0.99235886,0.0068503553,0.0007907829
id22308,0.44412252,0.04194972,0.51392776
id06536,0.0015616217,0.0010081511,0.99743026
id19797,0.16221373,0.72792983,0.10985647
id06332,0.658879,0.15214662,0.18897437
id22941,0.17798351,0.116477735,0.7055388
id13547,0.054045383,0.035726126,0.91022855
id06928,0.0019569902,0.0003524442,0.99769056
id12521,0.6623066,0.25002086,0.08767253
id25716,0.9577704,0.006368497,0.035861105
id27116,0.0010843729,0.000164024,0.99875164
id19941,0.0053488547,0.98709524,0.0075558955
id05711,0.0015570088,0.00021997638,0.998223
id02097,0.0035645098,0.005891524,0.99054396
id03563,0.0006021705,0.9992397,0.00015819896
id02295,0.54638845,0.34233296,0.11127862
id08179,0.9991159,0.00024533624,0.000638717
id05332,0.018753583,0.95312786,0.028118586
id15697,0.8054844,0.032330565,0.162185
id17026,0.18865703,0.029996498,0.78134644
id04243,0.92692876,0.068049885,0.005021341
id13175,0.9958895,0.0035320984,0.0005784467
id05387,0.9878939,0.0055104257,0.006595648
id19989,0.9789409,0.005962234,0.0150969
id25173,0.15635079,0.026676165,0.81697303
id08925,0.010229439,0.9885831,0.0011874994
id03034,0.003280624,0.993504,0.0032153614
id13272,0.00026101377,0.99964154,9.739411e-05
id07956,0.8782636,0.010922341,0.11081411
id02648,0.0070049497,0.003323569,0.98967147
id01778,0.04674337,0.016379708,0.93687695
id12846,0.0069606146,0.005143205,0.9878962
id19001,0.1590642,0.016541932,0.82439387
id05763,0.9206534,0.016692802,0.06265376
id15590,0.0010068045,0.00018891029,0.99880433
id04912,0.4110011,0.3831254,0.20587355
id21201,0.89562815,0.050952245,0.053419624
id13215,0.9847185,0.0034511695,0.011830372
id15612,0.094939046,0.8970162,0.008044751
id18501,0.022348441,0.010790741,0.9668608
id07223,0.8628505,0.09761082,0.039538678
id06707,0.4010755,0.3988735,0.20005104
id05238,0.00019931392,0.9996991,0.000101594174
id00935,0.023669517,0.024756674,0.9515738
id00110,0.8458947,0.002867937,0.15123741
id17476,0.99029607,0.0066468054,0.003057087
id15170,0.99095905,0.006488909,0.0025520439
